0cpuMISC,0gpuMISC
0,0
2.0,1.0
2.0,1.0
20.0,2.0
20.0,2.0
26.0,2.25
26.0,2.25
26.0,2.25
26.5,2.5
26.5,2.5
32.5,3.3
32.7,3.3499999999999996
32.7,3.3499999999999996
32.7,3.3499999999999996
38.7,3.8499999999999996
38.7,3.8499999999999996
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
44.7,3.9499999999999993
50.7,4.199999999999999
56.7,4.699999999999999
56.7,4.699999999999999
56.7,4.699999999999999
62.7,4.949999999999999
62.7,4.949999999999999
62.900000000000006,5.049999999999999
68.9,5.549999999999999
68.9,5.549999999999999
68.9,5.549999999999999
68.9,5.549999999999999
88.9,6.549999999999999
88.9,6.549999999999999
88.9,6.549999999999999
88.9,6.549999999999999
82.9,6.799999999999999
82.9,6.799999999999999
82.9,6.799999999999999
94.9,7.549999999999999
82.9,6.799999999999999
94.9,7.549999999999999
88.9,7.8
88.9,7.800000000000001
88.9,7.800000000000002
88.9,7.8000000000000025
94.9,7.7500000000000036
94.9,7.800000000000004
94.9,7.650000000000006
94.9,7.650000000000006
94.9,7.6500000000000075
94.9,7.100000000000008
94.9,7.650000000000009
94.9,7.850000000000009
94.9,7.850000000000009
94.9,7.850000000000009
88.2,7.95000000000001
88.2,7.95000000000001
88.2,7.95000000000001
88.2,7.95000000000001
88.2,7.95000000000001
88.2,7.95000000000001
94.2,7.950000000000009
94.2,7.950000000000009
94.2,7.950000000000009
88.2,7.950000000000009
88.2,7.950000000000009
88.2,7.950000000000009
88.2,7.950000000000009
88.2,7.950000000000009
88.2,6.95000000000001
94.4,7.750000000000011
94.4,7.750000000000011
94.4,7.750000000000011
88.2,7.950000000000011
94.2,7.950000000000012
86.2,7.950000000000013
92.0,7.9500000000000135
86.2,7.950000000000014
80.0,7.950000000000015
74.2,7.950000000000016
80.0,7.950000000000017
74.2,7.950000000000018
80.2,7.950000000000019
80.2,7.950000000000019
92.2,7.950000000000019
90.2,7.950000000000019
90.2,7.950000000000019
90.2,7.950000000000019
84.2,7.950000000000019
90.2,7.950000000000019
82.2,7.950000000000019
96.0,7.950000000000019
96.0,7.600000000000019
88.2,7.95000000000002
94.0,7.950000000000021
86.2,7.9500000000000215
86.2,7.9500000000000215
86.2,7.9500000000000215
86.2,7.9500000000000215
86.2,7.9500000000000215
86.2,7.9500000000000215
80.4,7.9500000000000215
80.4,7.950000000000021
82.4,7.95000000000002
80.4,7.950000000000019
94.4,7.950000000000018
80.4,7.950000000000017
80.4,7.950000000000016
76.4,7.950000000000015
74.4,7.950000000000014
88.4,7.9500000000000135
68.4,7.650000000000013
58.60000000000001,7.950000000000012
70.60000000000001,7.950000000000011
68.60000000000001,7.950000000000011
76.4,7.950000000000011
88.4,7.950000000000009
80.60000000000001,7.950000000000008
76.4,7.950000000000007
74.4,7.950000000000006
74.60000000000001,7.9500000000000055
88.4,7.950000000000004
74.4,7.950000000000002
80.60000000000001,7.95
76.60000000000001,7.999999999999999
80.60000000000001,7.999999999999997
82.80000000000001,7.999999999999996
92.60000000000001,7.999999999999994
80.60000000000001,7.999999999999992
78.60000000000001,7.99999999999999
92.60000000000001,7.9999999999999885
90.80000000000001,7.999999999999987
80.60000000000001,6.999999999999984
92.4,7.999999999999983
90.60000000000001,7.899999999999981
86.2,7.99999999999998
90.4,7.999999999999978
94.2,7.999999999999976
92.7,7.999999999999974
86.2,7.9999999999999725
93.10000000000001,7.949999999999971
94.7,7.999999999999969
95.10000000000001,7.999999999999967
94.9,7.999999999999965
95.10000000000001,7.999999999999964
92.60000000000001,7.999999999999962
95.10000000000001,6.99999999999996
92.4,7.999999999999959
94.9,7.999999999999959
95.1,7.799999999999961
95.09999999999998,7.299999999999961
95.09999999999997,7.549999999999961
95.09999999999995,7.549999999999961
95.09999999999995,7.049999999999961
95.09999999999995,6.2999999999999625
77.99999999999996,5.799999999999965
95.09999999999995,5.899999999999967
95.99999999999996,5.399999999999967
95.99999999999996,5.399999999999967
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.399999999999968
95.99999999999996,5.3999999999999675
95.99999999999996,5.3999999999999675
95.99999999999996,4.349999999999968
95.09999999999995,4.8999999999999675
95.09999999999995,7.749999999999967
95.09999999999995,5.1499999999999675
94.49999999999996,7.999999999999968
95.09999999999995,5.1499999999999675
95.09999999999995,5.1499999999999675
95.09999999999995,7.749999999999967
95.09999999999995,6.3999999999999675
92.69999999999996,7.999999999999968
95.09999999999995,6.649999999999968
92.69999999999996,7.99999999999997
95.09999999999995,5.89999999999997
93.09999999999995,7.399999999999972
95.09999999999995,6.399999999999974
94.09999999999995,7.659999999999974
94.09999999999995,7.659999999999974
94.09999999999995,7.659999999999974
95.69999999999996,7.959999999999975
95.69999999999996,7.959999999999975
95.69999999999996,7.959999999999975
95.49999999999996,7.959999999999975
93.89999999999996,7.959999999999975
95.69999999999995,7.959999999999974
95.69999999999995,7.959999999999974
95.89999999999995,7.859999999999975
95.89999999999995,7.859999999999975
94.09999999999994,7.909999999999974
95.89999999999993,7.859999999999975
89.69999999999992,7.709999999999975
89.19999999999992,7.709999999999975
95.69999999999992,7.959999999999975
95.69999999999992,7.959999999999975
93.09999999999991,7.909999999999975
95.6999999999999,7.999999999999975
95.6999999999999,7.999999999999975
95.6999999999999,7.999999999999975
84.6999999999999,7.959999999999975
95.6999999999999,7.999999999999975
94.6999999999999,7.959999999999975
95.9999999999999,7.859999999999975
94.0999999999999,7.759999999999974
84.4999999999999,7.999999999999975
75.4999999999999,7.999999999999975
84.4999999999999,7.949999999999975
91.9999999999999,7.999999999999975
84.4999999999999,7.999999999999975
89.4999999999999,7.999999999999975
82.4999999999999,7.999999999999975
