,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,final_node_allocation,final_gpu_allocation,deadline,exec_time,complete_time,current_duration,speedup
0,26707,1,6,6.0,0.1,MISC,3217,58540f191766,19623,0,0,6,"[0.1, 6.0]",,0,0,[22],['MISC'],3404.6655039792167,6,0,0,1.0
1,31388,1,13,6.0,0.25,MISC,413,ba85cca2ba13,2581,0,0,13,"[0.25, 6.0]",,0,0,[22],['MISC'],454.78525862057984,13,0,0,1.0
2,3012,1,17,6.0,0.25,MISC,3872,c88b4a44554a,24200,0,0,17,"[0.25, 6.0]",,0,0,[22],['MISC'],4204.925522144904,17,0,0,1.0
3,38584,1,27,6.0,0.2,MISC,148,4c03cfeaf363,917,0,0,27,"[0.2, 6.0]",,0,0,[31],['MISC'],185.46810029916975,27,0,0,1.0
4,9780,1,36,6.0,1.0,MISC,41,05b25af4dd8b,287,0,0,36,"[1.0, 6.0]",,0,0,[31],['MISC'],81.02452594019084,36,0,0,1.0
5,74735,1,36,6.0,1.0,T4,246,c5307d7cd0cc,1722,0,0,36,"[1.0, 6.0]",,0,0,[26],['T4'],286.6885012026137,36,0,0,1.0
6,98789,1,45,2.0,0.25,MISC,3652,e016cedec318,8217,0,0,45,"[0.25, 2.0]",,0,0,[31],['MISC'],3699.204593349765,45,0,0,1.0
7,36037,1,49,6.0,1.0,MISC,136,05b25af4dd8b,952,0,0,49,"[1.0, 6.0]",,0,0,[31],['MISC'],185.86476568316868,49,0,0,1.0
8,88846,1,65,6.0,0.1,MISC,7172,58540f191766,43749,0,0,65,"[0.1, 6.0]",,0,0,[45],['MISC'],7638.021194006552,65,0,0,1.0
9,67165,1,92,6.0,1.0,MISC,82,0ed3eacdff35,574,0,0,92,"[1.0, 6.0]",,0,0,[45],['MISC'],174.364559805405,92,0,0,1.0
10,13926,1,105,6.0,0.25,T4,6902,d4d51aca8806,43137,0,0,105,"[0.25, 6.0]",,0,0,[2],['T4'],7693.535851123043,105,0,0,1.0
11,79320,1,115,6.0,1.0,T4,1793,4d95fa282778,12551,0,0,115,"[1.0, 6.0]",,0,0,[38],['T4'],1982.963552503587,115,0,0,1.0
12,9151,1,122,6.0,1.0,T4,3524,007d78e326bc,24668,0,0,122,"[1.0, 6.0]",,0,0,[12],['T4'],3673.571317251771,122,0,0,1.0
13,67105,1,128,6.0,1.0,T4,24,41f97a75a037,168,0,0,128,"[1.0, 6.0]",,0,0,[14],['T4'],154.31121852379866,128,0,0,1.0
14,99234,1,130,6.0,0.25,MISC,64833,de69ddc1064e,405206,0,0,130,"[0.25, 6.0]",,0,0,[31],['MISC'],71232.99219110754,130,0,0,1.0
16,45272,1,135,6.0,1.0,MISC,134,3f5d4699c3a6,938,0,0,135,"[1.0, 6.0]",,0,0,[31],['MISC'],274.20761760641744,135,0,0,1.0
15,1147,1,135,6.0,1.0,MISC,174,58540f191766,1218,0,0,135,"[1.0, 6.0]",,0,0,[10],['MISC'],314.8055397089965,135,0,0,1.0
