time_instant,node_0_initial_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_used_cpu,node_0_initial_bw,node_0_used_bw,node_0_gpu_type,node_1_initial_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_used_cpu,node_1_initial_bw,node_1_used_bw,node_1_gpu_type,node_2_initial_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_used_cpu,node_2_initial_bw,node_2_used_bw,node_2_gpu_type,node_3_initial_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_used_cpu,node_3_initial_bw,node_3_used_bw,node_3_gpu_type,node_4_initial_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_used_cpu,node_4_initial_bw,node_4_used_bw,node_4_gpu_type,node_5_initial_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_used_cpu,node_5_initial_bw,node_5_used_bw,node_5_gpu_type,node_6_initial_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_used_cpu,node_6_initial_bw,node_6_used_bw,node_6_gpu_type,node_7_initial_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_used_cpu,node_7_initial_bw,node_7_used_bw,node_7_gpu_type
16,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
17,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
18,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
19,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
20,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
21,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
22,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
23,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
24,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
25,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
26,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
27,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
28,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
29,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
30,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
31,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
32,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
33,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
34,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
35,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
36,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
37,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
38,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
39,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
40,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
41,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
42,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
