,job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user,size,on_time,wasted,jct,resource,node,allocated_at,bw,exec_time,final_node_allocation,final_gpu_allocation,deadline
62,56833,1,7,6.0,1.0,MISC,82,0ed3eacdff35,574,0,0,7,"[1.0, 6.0]",,0,0,7,"[22, 22, 22, 22, 22, 22]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",91.65911842220564
67,60993,1,7,10.0,0.5,T4,311,c4cbaac9966d,3265,0,0,7,"[0.5, 10.0]",,0,0,7,"[6, 6, 6, 6, 6, 6, 6, 6]","['T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4', 'T4']",330.4762248763944
63,59397,1,7,6.0,2.0,T4,1131,a58540410e7b,9048,0,0,7,"[2.0, 6.0]",,0,0,7,"[44, 27, 19, 28]","['T4', 'T4', 'T4', 'T4']",1224.8962656256972
65,59878,1,7,6.0,0.5,T4,3584,b88fff433bdf,23296,0,0,7,"[0.5, 6.0]",,0,0,7,"[28, 4, 4, 42]","['T4', 'T4', 'T4', 'T4']",3885.5340496920403
60,55257,1,7,6.0,0.1,MISC,7544,58540f191766,46018,0,0,7,"[0.1, 6.0]",,0,0,7,"[21, 21]","['V100', 'V100']",8070.149381442092
66,60520,1,7,6.0,0.5,MISC,14088,58540f191766,91572,0,0,7,"[0.5, 6.0]",,0,0,7,"[21, 21]","['V100', 'V100']",15229.148524126485
76,70836,1,8,6.0,1.0,MISC,32,0ed3eacdff35,224,0,0,8,"[1.0, 6.0]",,0,0,8,"[3, 3, 3, 3, 3, 3]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",40.4571890894146
75,68943,1,8,6.0,1.0,MISC,41,42aa9724a88c,287,0,0,8,"[1.0, 6.0]",,0,0,8,"[35, 35, 35, 35, 45, 45]","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', 'MISC']",51.63569266782174
73,66182,1,8,6.0,1.0,P100,57,0ed3eacdff35,399,0,0,8,"[1.0, 6.0]",,0,0,8,"[17, 17, 15, 15, 15, 15, 15, 15, 15, 15]","['P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100', 'P100']",67.84561817910597
70,63702,1,8,6.0,1.0,MISC,216,18febf35d3a1,1512,0,0,8,"[1.0, 6.0]",,0,0,8,"[45, 45]","['MISC', 'MISC']",236.25108911193564
